25% and below;35% and below;45% and below;55% and below;more than 55%
Artificial Intelligence Specialist ;Agile Coach;Analytics Specialist;Business Partner ;Content Specialist 
Back End Developer ;Analytics Consultant;Business Development Representative;Customer Specialist ;Content Writer 
Big Data Developer ;Business Intelligence Developer;Business Development Specialist;Customer Success Specialist ;Creative Copywriter
Chief Commercial Officer;Chief Strategy Officer ;Chief Marketing Officer ;Digital Marketing Manager ;Human Resources Business Partner 
Cloud Consultant;Data Consultant;Commerce Manager;Digital Marketing Specialist ;Human Resources Partner
Cloud Engineer;Data Scientist;Content Producer;Digital Product Manager;Social Media Assistant 
Commercial Sales Representative;Head Of Business Development ;Data Analyst ;Ecommerce Specialist ;Social Media Coordinator
Data Engineer ;Head Of Digital;Digital Marketing Consultant;Insights Analyst;Talent Acquisition Specialist
DevOps Engineer;Python Developer;Digital Specialist;Partnerships Specialist ;
DevOps Manager;Quality Assurance Engineer;Growth Manager;Product Analyst ;
Enterprise Account Executive ;;Head Of Partnerships;;
Frontend Engineer;;Information Technology Recruiter ;;
Full Stack Engineer ;;Product Owner;;
Javascript Developer ;;Quality Assurance Tester;;
Platform Engineer;;Sales Development Representative ;;
Site Reliability Engineer;;Scrum Master;;
;;Software Quality Assurance Engineer;;
;;Technology Analyst ;;
